Block_Group,Median_Gross_Rent,Year,Population_Size,Median_Age,Median_Household_Income,Labor_Force_Participation_Rate,Degree_Attainment,Degree_Attainment_Rate,Public_Assistance_Rate
"Block Group 2, Census Tract 9813, Suffolk County, Massachusetts",1896,2014,480,33.4,82788,0.88071066,257,0.535416667,0.042307692
"Block Group 1, Census Tract 9815.02, Suffolk County, Massachusetts",NA,2014,0,-,NA,NA,0,NA,NA
"Block Group 1, Census Tract 9816, Suffolk County, Massachusetts",NA,2014,0,-,NA,NA,0,NA,NA
"Block Group 1, Census Tract 501.01, Suffolk County, Massachusetts",1159,2015,2011,29.7,64792,0.765886288,164,0.081551467,0.038910506
"Block Group 2, Census Tract 501.01, Suffolk County, Massachusetts",601,2015,2007,31.7,23042,0.576005025,211,0.105132038,0.047989624
"Block Group 3, Census Tract 501.01, Suffolk County, Massachusetts",1207,2015,1469,32.5,64615,0.748322148,388,0.264125255,0.039655172
"Block Group 1, Census Tract 502, Suffolk County, Massachusetts",1169,2015,2503,31.7,54815,0.864067966,261,0.10427487,0
"Block Group 2, Census Tract 502, Suffolk County, Massachusetts",975,2015,975,39.1,46250,0.647820966,182,0.186666667,0.021645022
"Block Group 3, Census Tract 502, Suffolk County, Massachusetts",1509,2015,1013,33.3,49534,0.824742268,202,0.1994077,0
"Block Group 4, Census Tract 502, Suffolk County, Massachusetts",1157,2015,1592,30.7,54306,0.811260904,25,0.015703518,0
"Block Group 1, Census Tract 503, Suffolk County, Massachusetts",1152,2015,653,28.9,51645,0.783216783,67,0.102603369,0.031111111
"Block Group 2, Census Tract 503, Suffolk County, Massachusetts",311,2015,1489,37.7,12897,0.392241379,106,0.071188717,0.137179487
"Block Group 1, Census Tract 504, Suffolk County, Massachusetts",1190,2015,750,33.7,53409,0.829652997,221,0.294666667,0
"Block Group 2, Census Tract 504, Suffolk County, Massachusetts",1182,2015,1687,37.9,50881,0.813844086,332,0.196799052,0.059334298
"Block Group 1, Census Tract 506, Suffolk County, Massachusetts",1135,2015,1474,31.8,46810,0.832921811,70,0.047489824,0.010869565
"Block Group 2, Census Tract 506, Suffolk County, Massachusetts",1268,2015,818,35.6,71250,0.957446809,173,0.211491443,0.011527378
"Block Group 1, Census Tract 507, Suffolk County, Massachusetts",1283,2015,2902,32.8,53426,0.827972028,365,0.125775327,0.022352941
"Block Group 2, Census Tract 507, Suffolk County, Massachusetts",1213,2015,1132,33.5,72734,0.848261328,132,0.116607774,0.018348624
"Block Group 3, Census Tract 507, Suffolk County, Massachusetts",1177,2015,1277,32.4,44957,0.696551724,127,0.09945184,0.089974293
"Block Group 1, Census Tract 509.01, Suffolk County, Massachusetts",1231,2015,1560,34.1,64665,0.873630387,105,0.067307692,0.016018307
"Block Group 2, Census Tract 509.01, Suffolk County, Massachusetts",1243,2015,2572,33.8,63606,0.801466993,248,0.096423017,0
"Block Group 3, Census Tract 509.01, Suffolk County, Massachusetts",1283,2015,608,28.8,49444,0.759753593,67,0.110197368,0
"Block Group 1, Census Tract 510, Suffolk County, Massachusetts",1264,2015,2246,36.4,78750,0.838555497,338,0.15048976,0
"Block Group 2, Census Tract 510, Suffolk County, Massachusetts",392,2015,880,31.2,23818,0.50617284,166,0.188636364,0.081145585
"Block Group 3, Census Tract 510, Suffolk County, Massachusetts",1167,2015,1422,33.5,45959,0.694319206,87,0.061181435,0.01183432
"Block Group 1, Census Tract 511.01, Suffolk County, Massachusetts",1203,2015,1336,38.2,46549,0.79198636,234,0.175149701,0
"Block Group 2, Census Tract 511.01, Suffolk County, Massachusetts",406,2015,1868,31.8,21507,0.685159501,314,0.168094218,0.119700748
"Block Group 3, Census Tract 511.01, Suffolk County, Massachusetts",1146,2015,1928,42.2,64922,0.662103298,392,0.203319502,0
"Block Group 4, Census Tract 511.01, Suffolk County, Massachusetts",1430,2015,1331,40,86447,0.703674121,350,0.26296018,0
"Block Group 1, Census Tract 512, Suffolk County, Massachusetts",NA,2015,103,62.9,NA,0.45631068,36,0.349514563,0.2
"Block Group 2, Census Tract 512, Suffolk County, Massachusetts",1149,2015,1813,34.1,49200,0.675123326,224,0.123552124,0.043055556
"Block Group 3, Census Tract 512, Suffolk County, Massachusetts",1369,2015,779,34.9,76971,0.791327913,367,0.471116816,0
"Block Group 1, Census Tract 9812.02, Suffolk County, Massachusetts",NA,2015,183,22.7,NA,1,14,0.076502732,NA
"Block Group 1, Census Tract 9813, Suffolk County, Massachusetts",NA,2015,0,-,NA,NA,0,NA,NA
"Block Group 2, Census Tract 9813, Suffolk County, Massachusetts",1927,2015,486,31.9,86250,0.898989899,244,0.502057613,0.046692607
"Block Group 1, Census Tract 9815.02, Suffolk County, Massachusetts",NA,2015,0,-,NA,NA,0,NA,NA
"Block Group 1, Census Tract 9816, Suffolk County, Massachusetts",NA,2015,0,-,NA,NA,0,NA,NA
"Block Group 1, Census Tract 501.01, Suffolk County, Massachusetts",1155,2016,2165,28.6,58158,0.727213542,151,0.069745958,0.036259542
"Block Group 2, Census Tract 501.01, Suffolk County, Massachusetts",576,2016,1726,35.9,24131,0.637893197,233,0.134994206,0.026075619
"Block Group 3, Census Tract 501.01, Suffolk County, Massachusetts",1265,2016,1559,33.3,48125,0.750771605,380,0.243745991,0.031545741
"Block Group 1, Census Tract 502, Suffolk County, Massachusetts",1160,2016,2418,30.4,56550,0.841509434,300,0.124069479,0.013605442
"Block Group 2, Census Tract 502, Suffolk County, Massachusetts",1142,2016,1123,35.3,49688,0.61358811,232,0.206589492,0.024122807
"Block Group 3, Census Tract 502, Suffolk County, Massachusetts",1358,2016,1066,33.2,52072,0.853273138,160,0.150093809,0
"Block Group 4, Census Tract 502, Suffolk County, Massachusetts",1543,2016,1656,33,65089,0.783650458,51,0.030797101,0
"Block Group 1, Census Tract 503, Suffolk County, Massachusetts",1129,2016,569,28.7,53173,0.792079208,55,0.096660808,0
"Block Group 2, Census Tract 503, Suffolk County, Massachusetts",400,2016,1574,38.3,12437,0.328286853,119,0.075603558,0.116136919
"Block Group 1, Census Tract 504, Suffolk County, Massachusetts",1331,2016,720,33.2,60500,0.886138614,231,0.320833333,0
